Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
177	-16.28	39.52	-10.28	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Frontal_Sup_Orb_R
178	-21.88	56.14	11.72	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_R
179	-20.0	56.13	20.08	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_R
180	-23.55	17.52	51.5	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
181	-27.5	50.3	19.74	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_R
182	-17.46	21.93	52.43	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
183	-17.45	51.99	26.55	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_R
184	-20.57	8.28	55.36	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
185	-19.44	-15.93	65.59	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
186	-26.02	-2.71	57.96	Left Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	Brodmann area 6	Frontal_Sup_R
187	-17.94	42.42	37.26	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_R
188	-22.64	30.44	40.5	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_R
189	-16.89	33.85	42.25	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_R
190	-19.7	45.69	31.15	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_R
191	-19.7	29.91	47.68	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_R
192	-19.11	-3.56	60.43	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
193	-28.87	-13.0	61.15	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_R
194	23.68	-72.29	-13.5	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_L
195	26.12	-53.49	-13.4	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_L
196	22.94	-39.47	-12.31	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Fusiform_L
197	35.67	-48.75	-15.84	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Fusiform_L
198	25.17	-7.59	-29.42	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	Fusiform_L
199	26.64	-25.48	-20.91	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	Fusiform_L
200	25.33	0.64	-30.09	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	Fusiform_L
201	33.03	-29.29	-18.55	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	Fusiform_L
202	33.64	-63.83	-14.16	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_L
