Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
617	51.15	-18.42	5.37	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
618	53.46	-16.47	0.34	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	3	
619	51.44	-6.18	-4.93	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
620	52.15	-25.95	3.76	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
621	-15.43	-26.28	9.17	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	0	
622	-7.82	-23.37	5.95	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	0	
623	-14.75	-16.96	9.46	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Ventral Posterior Lateral Nucleus	0	
624	-7.84	-12.47	8.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	0	
625	14.11	-6.6	21.77	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
626	14.49	9.17	16.64	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
627	13.07	17.41	5.55	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
628	7.55	9.23	6.51	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
629	9.08	-21.69	13.15	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	0	
630	7.14	-13.27	6.51	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	0	
631	14.76	-17.39	8.92	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Ventral Posterior Lateral Nucleus	0	
632	11.49	-27.4	5.89	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	0	
633	-4.21	34.56	16.64	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	0	
634	-4.96	28.51	28.16	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	1	
635	-3.99	22.13	24.13	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	0	
636	-5.87	10.11	30.12	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
637	-6.68	31.04	2.52	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	0	
638	-5.15	41.34	10.87	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	0	

